,id,name,profile_path_url,popularity,department,gender,known_for
106,6885,Charlize Theron,/1HloWLLhL3iTrmDtMigiitLB9Qx.jpg,11.436,Acting,1,"Mad Max: Fury Road, Prometheus, The Fate of the Furious"
107,544442,Paola Nuñez,/1PlN0Wkez6F84YgIoFcRU1jPtXG.jpg,11.381,Acting,1,"Bad Boys for Life, The Purge, El cumple de la abuela"
108,933238,Rebecca Ferguson,/nPEYscZf4hfCYd4S30GnX1kfI1L.jpg,11.363,Acting,1,"The Greatest Showman, Mission: Impossible - Rogue Nation, Mission: Impossible - Fallout"
109,212833,Nicky Whelan,/ihKtVrJtcHmng8YbBde95GLYv0q.jpg,11.362,Acting,1,"Hall Pass, The Wedding Ringer, Left Behind"
110,55638,Kevin Hart,/9zxRAhWMxhVrgDnUysvTGLW7fcW.jpg,11.346,Acting,2,"Jumanji: Welcome to the Jungle, The Secret Life of Pets, The 40 Year Old Virgin"
111,1333252,Baek Se-ri,/uAzUqGnwaVrKDtIPEIhZi6j4YoC.jpg,11.32,Acting,1,"One on One, Erotic Stories, Family Reconstruction"
112,1320545,Pan Chunchun,/j95Aq0fsMoGMRNMQBdPfYGYT3li.jpg,11.108,Acting,1,"The Light of Darkness, Alien Invasion"
113,73457,Chris Pratt,/gXKyT1YU5RWWPaE1je3ht58eUZr.jpg,11.062,Acting,2,"Guardians of the Galaxy, Avengers: Infinity War, Jurassic World"
114,11150,Gina Gershon,/ozyHK0Zow3wt2383QtSQauWFOHS.jpg,11.046,Acting,1,"Face/Off, P.S. I Love You, LOL"
115,12052,Gwyneth Paltrow,/iI5wMUbOb5CTs58RhtjGD8cA3yY.jpg,11.036,Acting,1,"The Avengers, Iron Man, Avengers: Infinity War"
116,67599,Vanessa Hudgens,/ssFXWN5li5OWJLgUoFlUDY0ZyPc.jpg,11.032,Acting,1,"High School Musical, Sucker Punch, Spring Breakers"
117,1368507,Elizabeth Lail,/lDYjEyqojUs2sF3CgdsOZ9vr2KL.jpg,10.991,Acting,1,"The Blacklist, Once Upon a Time, Countdown"
118,138,Quentin Tarantino,/f00gwMDBfJh6D5c7KQan6eek9h6.jpg,10.984,Directing,2,"Pulp Fiction, Django Unchained, Inglourious Basterds"
119,1949148,Laura Surrich,/fbXZxpfIYjN0uexfAELkOVPx1bi.jpg,10.927,Acting,1,"King Kong, Spartacus, The Cure"
120,49918,Charlie Tahan,/sr50dwXp0V6UVBsmvuBILd4pFKD.jpg,10.91,Acting,2,"I Am Legend, Blue Jasmine, Frankenweenie"
121,3027,Stephen King,/z8cHPoqTslxRR7oWQ5wsh0fNLt2.jpg,10.899,Writing,2,"The Shawshank Redemption, It, The Shining"
122,112371,April Bowlby,/c5Yk2tqApmbmKXHoPbYQauXssED.jpg,10.82,Acting,1,"The Big Bang Theory, How I Met Your Mother, DC's Legends of Tomorrow"
123,488,Steven Spielberg,/3MiyGfhQZhfLTuoaGdusXz5awRU.jpg,10.601,Directing,2,"Jurassic Park, Saving Private Ryan, Schindler's List"
124,1627812,Park Ha-yan,/469yW2z5vlut2h6bSRL7sK306Bi.jpg,10.475,Acting,1,"House with a Nice View 2, Taboo: Forbidden Love, Purpose of Cohabitation"
125,92572,Betty Gilpin,/hBOviIHCVqbWyyPUoIxZohDl5SL.jpg,10.438,Acting,1,"Isn't It Romantic, True Story, Fringe"
126,57755,Woody Harrelson,/gaibtvUFIlwHzRvNKV5UfrR4GCM.jpg,10.382,Acting,2,"The Hunger Games, The Hunger Games: Catching Fire, The Hunger Games: Mockingjay - Part 1"
127,1428067,Jace Norman,/2jbPvSLFabJRMTKFxCn2yL5mmEv.jpg,10.342,Acting,2,"Jessie, Henry Danger, The Thundermans"
128,3967,Kate Beckinsale,/pRNpPfvZy4bePDgQzQFrxTVIUfa.jpg,10.34,Acting,1,"Click, Underworld, Pearl Harbor"
129,12073,Mike Myers,/sa8MMxXZrHgQ85hTAP11WS4N3ik.jpg,10.319,Acting,2,"Inglourious Basterds, Bohemian Rhapsody, Shrek"
130,1195621,Olivia Ainali,/v7z8t61vW0wvMLU7glDaRieZSjN.jpg,10.285,Acting,1,"Bordertown, Ricky Rapper and Cool Wendy"
131,524,Natalie Portman,/wU8RzVFj39YUuKLav9WceDhKzbk.jpg,10.264,Acting,1,"Thor, Avengers: Endgame, Thor: The Dark World"
132,6193,Leonardo DiCaprio,/wo2hJpn04vbtmh0B9utCFdsQhxM.jpg,10.236,Acting,2,"Inception, Django Unchained, Titanic"
133,14386,Beyoncé Knowles,/9MgDCYBBVBl4lM1DuxNIIbCHlKy.jpg,10.22,Acting,1,"The Lion King, Austin Powers in Goldmember, Epic"
134,1223786,Emilia Clarke,/lRSqMNNhPL4Ib1hAJxmDFBXHAMU.jpg,10.211,Acting,1,"Game of Thrones, Me Before You, Terminator Genisys"
135,1252061,Çağatay Ulusoy,/5v21UKxhstYVUABD7JRmSJ1YLA9.jpg,10.192,Acting,2,"Delibal, The Protector, Anatolian Eagles"
136,1044952,Kris Van Damme,/hpQfeSvXBDR0pDFJhDnnvU5MNSh.jpg,10.187,Acting,2,"Welcome to the Jungle, Universal Soldier: Day of Reckoning, Universal Soldier: Regeneration"
137,2975,Laurence Fishburne,/7XP72qzAjbIFikZIpXroLbSS8Cy.jpg,10.176,Acting,2,"The Matrix, Batman v Superman: Dawn of Justice, Man of Steel"
138,2,Mark Hamill,/fk8OfdReNltKZqOk2TZgkofCUFq.jpg,10.162,Acting,2,"Star Wars: The Force Awakens, Star Wars, Kingsman: The Secret Service"
139,116,Keira Knightley,/8GaYprIb8GlljllLnZtQyIZ7thU.jpg,10.157,Acting,1,"Pirates of the Caribbean: The Curse of the Black Pearl, The Imitation Game, Pirates of the Caribbean: Dead Man's Chest"
140,10959,Shia LaBeouf,/vHLNrMzfkOB6xiCIO5B0dsp2W1V.jpg,10.125,Acting,2,"I, Robot, Fury, Transformers"
141,228,Ed Harris,/tTBYSvX8kWtibtzojszCRepyai4.jpg,10.121,Acting,2,"The Truman Show, Gravity, A Beautiful Mind"
142,1522703,Hande Erçel,/ctha5vTjjFF3Z71e8WNFFMPbkoz.jpg,10.092,Acting,1,"Sun's Daughters, Aşk Laftan Anlamaz, Halka"
143,10431,Jennifer Jason Leigh,/7CpqvYVCI6Sq07zgQYxHRydevpk.jpg,10.085,Acting,1,"The Hateful Eight, Annihilation, The Machinist"
144,33235,Logan Lerman,/qWbN2toEEQgW9DFjgy3gT2VoVlQ.jpg,10.081,Acting,2,"Fury, The Perks of Being a Wallflower, Percy Jackson & the Olympians: The Lightning Thief"
145,3894,Christian Bale,/4xydbSbAutKqXJwXtKlTIVU9qXA.jpg,10.041,Acting,2,"The Dark Knight, The Dark Knight Rises, Batman Begins"
146,1588454,Manon Azem,/81ZofzaZlQ4XKOR9PklmJKEdhcA.jpg,10.034,Acting,1,"Gangsterdam, A New Girl In Paris!, Burn Out"
147,63,Milla Jovovich,/sDES3xDYZoDwsDxE4dd3IGMiQSn.jpg,9.996,Acting,1,"The Fifth Element, Resident Evil, Zoolander"
148,58006,Jodi Lyn O'Keefe,/akyVB9tFIjoj3PnrMBRcvzU86k5.jpg,9.948,Acting,1,"The Big Bang Theory, Lost, Lucifer"
149,1202689,Jessica Henwick,/8WxU7ttow0231Oyw1KPXb1BdKo4.jpg,9.928,Acting,1,"Star Wars: The Force Awakens, Game of Thrones, Marvel's Iron Fist"
150,18514,Asia Argento,/krvxUFSgLeYpdDXmFAANNv5fzKI.jpg,9.904,Acting,1,"xXx, Marie Antoinette, Land of the Dead"
151,2387,Patrick Stewart,/wEy5qSDT5jT3ZASc2hbwi59voPL.jpg,9.86,Acting,2,"Logan, X-Men: Days of Future Past, Ted"
152,192,Morgan Freeman,/oIciQWr8VwKoR8TmAw1owaiZFyb.jpg,9.843,Acting,2,"The Dark Knight, The Dark Knight Rises, The Shawshank Redemption"
153,1640347,Alexandra Masangkay,/iwbCGsSwxkBgJFs90F2PCHJsGpP.jpg,9.802,Acting,1,"The Platform, 1898: Our Last Men in the Philippines"
154,1844777,Daniah De Villiers,/jdeEvdNwgWteXPNQMuualUTEyDb.jpg,9.8,Acting,1,"Mia and the White Lion, Vaselinetjie, Nothing is not nothing"
155,819,Edward Norton,/5XBzD5WuTyVQZeS4VI25z2moMeY.jpg,9.797,Acting,2,"Fight Club, The Grand Budapest Hotel, Birdman or (The Unexpected Virtue of Ignorance)"
156,72129,Jennifer Lawrence,/q0tf3XEo7wa8XglIznTC7WzZ9W3.jpg,9.78,Acting,1,"The Hunger Games, The Hunger Games: Catching Fire, The Hunger Games: Mockingjay - Part 1"
157,2025254,Omar Ayuso,/c4bAqv3PoSVK4ov7cw076NNqg6f.jpg,9.776,Acting,2,"Elite, Gusts of Wild Life"
158,2085448,Yukee Chen,/zRPQ7suBiQoCUEzt9BHtzKkxSAx.jpg,9.764,Acting,1,"The Princess Weiyoung, Ashes of Love, Young President and His Contract Wife"
159,2882,Diane Lane,/tUPAKAtstqeQrAKhkQge9jV7Owz.jpg,9.755,Acting,1,"Inside Out, Batman v Superman: Dawn of Justice, Man of Steel"
160,1075560,Maggie Civantos,/fPeJlddHCO2zJPg2hK0pQ1nJtoc.jpg,9.685,Acting,1,"Locked Up, The Influence, Cable Girls"
161,53714,Rachel McAdams,/TjuaAVJfcDCKVTeIHLbeCi7aIt.jpg,9.664,Acting,1,"Doctor Strange, Sherlock Holmes, Sherlock Holmes: A Game of Shadows"
162,90633,Gal Gadot,/aDWrs64fKhIyqeIMPTAlK4UlDbZ.jpg,9.628,Acting,1,"Wonder Woman, Batman v Superman: Dawn of Justice, Justice League"
163,3896,Liam Neeson,/r1DRqmZhLrzhTTwg9PtuMMQTvuB.jpg,9.615,Acting,2,"The Dark Knight Rises, Batman Begins, Schindler's List"
